# 95 um / 104 W keyhole reference trace, dx = 5 um (production)
# shipped calibrated constants: eta_min=0.12 d_ignite_m=2.325613196e-05 absorb_decay_depth_m=5.485328030e-05
# grid 61x61x300  dx=5.000000000e-06 m  dt=1.504517261e-06 s  steps=1332
# ignition_time_s=5.145449033e-04
t_s,depth_m
1.504517261e-06,0.000000000e+00
3.009034522e-06,0.000000000e+00
4.513551784e-06,0.000000000e+00
6.018069045e-06,0.000000000e+00
7.522586306e-06,0.000000000e+00
9.027103567e-06,0.000000000e+00
1.053162083e-05,0.000000000e+00
1.203613809e-05,0.000000000e+00
1.354065535e-05,0.000000000e+00
1.504517261e-05,0.000000000e+00
1.654968987e-05,0.000000000e+00
1.805420713e-05,0.000000000e+00
1.955872440e-05,0.000000000e+00
2.106324166e-05,0.000000000e+00
2.256775892e-05,0.000000000e+00
2.407227618e-05,0.000000000e+00
2.557679344e-05,0.000000000e+00
2.708131070e-05,0.000000000e+00
2.858582796e-05,0.000000000e+00
3.009034522e-05,0.000000000e+00
3.159486249e-05,0.000000000e+00
3.309937975e-05,0.000000000e+00
3.460389701e-05,0.000000000e+00
3.610841427e-05,0.000000000e+00
3.761293153e-05,0.000000000e+00
3.911744879e-05,0.000000000e+00
4.062196605e-05,0.000000000e+00
4.212648331e-05,0.000000000e+00
4.363100057e-05,0.000000000e+00
4.513551784e-05,0.000000000e+00
4.664003510e-05,0.000000000e+00
4.814455236e-05,0.000000000e+00
4.964906962e-05,0.000000000e+00
5.115358688e-05,0.000000000e+00
5.265810414e-05,0.000000000e+00
5.416262140e-05,0.000000000e+00
5.566713866e-05,0.000000000e+00
5.717165593e-05,0.000000000e+00
5.867617319e-05,0.000000000e+00
6.018069045e-05,0.000000000e+00
6.168520771e-05,0.000000000e+00
6.318972497e-05,0.000000000e+00
6.469424223e-05,0.000000000e+00
6.619875949e-05,0.000000000e+00
6.770327675e-05,0.000000000e+00
6.920779401e-05,0.000000000e+00
7.071231128e-05,0.000000000e+00
7.221682854e-05,0.000000000e+00
7.372134580e-05,0.000000000e+00
7.522586306e-05,0.000000000e+00
7.673038032e-05,0.000000000e+00
7.823489758e-05,0.000000000e+00
7.973941484e-05,2.500000000e-06
8.124393210e-05,2.500000000e-06
8.274844937e-05,2.500000000e-06
8.425296663e-05,2.500000000e-06
8.575748389e-05,2.500000000e-06
8.726200115e-05,2.500000000e-06
8.876651841e-05,2.500000000e-06
9.027103567e-05,2.500000000e-06
9.177555293e-05,2.500000000e-06
9.328007019e-05,2.500000000e-06
9.478458746e-05,2.500000000e-06
9.628910472e-05,2.500000000e-06
9.779362198e-05,2.500000000e-06
9.929813924e-05,2.500000000e-06
1.008026565e-04,2.500000000e-06
1.023071738e-04,2.500000000e-06
1.038116910e-04,2.500000000e-06
1.053162083e-04,2.500000000e-06
1.068207255e-04,2.500000000e-06
1.083252428e-04,2.500000000e-06
1.098297601e-04,2.500000000e-06
1.113342773e-04,2.500000000e-06
1.128387946e-04,2.500000000e-06
1.143433119e-04,2.500000000e-06
1.158478291e-04,2.500000000e-06
1.173523464e-04,2.500000000e-06
1.188568636e-04,2.500000000e-06
1.203613809e-04,2.500000000e-06
1.218658982e-04,2.500000000e-06
1.233704154e-04,2.500000000e-06
1.248749327e-04,4.440938283e-06
1.263794499e-04,4.440938283e-06
1.278839672e-04,4.440938283e-06
1.293884845e-04,4.440938283e-06
1.308930017e-04,4.440938283e-06
1.323975190e-04,4.440938283e-06
